kata name,developer,kata rank,publish date,total stars,no. collections kata part of,times attempted,times skipped,total code submissions,total times completed,total times completed (P),percentage of votes with positive feedback [%],total votes,total very satisfied,total somewhat satisfied,total not satisfied,total rank assessment,average assessed rank,highest assessed rank,lowest assessed rank,tags
Custom FizzBuzz Array,ogryzek,6 kyu,"Apr 21, 2014",96,9,5724,1367,23350,3061,667,86,335,253,70,12,,,,,"Fundamentals, Arrays"
Welcome!,lucymonie,8 kyu,"Jul 8, 2016",361,84,33769,1496,69438,20077,"9,669",89,2656,2153,425,78,,,,,"Fundamentals, Hashes, Data, Structures, Objects"
Read a UPC/Barcode,BinaryEclipse,6 kyu,"Aug 23, 2018",18,3,417,11,512,150,135,95,57,52,4,1,5.0,6 kyu,4 kyu,7 kyu,Algorithms
Get Planet Name By ID,jhoffner,8 kyu,"Apr 5, 2013",169,44,37641,1294,62891,28023,"13,429",87,2830,2190,536,104,,,,,"Bugs, Control, Flow, Basic, Language, Features, Fundamentals"
Search for letters,Roy Gardiner,7 kyu,"Jan 19, 2014",101,13,10001,1335,19877,4871,"1,685",91,499,421,66,12,,,,,"Fundamentals, Strings, Search, Algorithms"
Greet Me,ogryzek,7 kyu,"Apr 21, 2014",78,19,12327,370,34210,10220,"2,870",89,917,747,142,28,,,,,"Fundamentals, Strings"
Chinese Numeral Encoder,constablebrew,4 kyu,"Oct 25, 2013",126,15,2964,982,11446,669,418,95,133,121,10,2,14.0,3 kyu,3 kyu,5 kyu,"Algorithms, Numbers, Utilities"
Sort Santa's Reindeer,xDranik,7 kyu,"Dec 13, 2013",53,4,6104,471,12521,3520,"1,718",92,370,318,44,8,,,,,"Algorithms, Hacking, Holidays, Sorting, Arrays, Strings"
Readable Specification Pattern,FArekkusu,5 kyu,"Nov 7, 2019",36,5,693,72,305,45,45,89,9,8,0,1,6.0,6 kyu,4 kyu,8 kyu,"Fundamentals, Object, Programming, Design, Patterns, Design, Principles"
Subtract the Sum,aryan-firouzian,8 kyu,"Feb 18, 2016",369,73,24380,793,45471,9270,716,61,1836,979,300,557,,,,,Puzzles
Split and then add both sides of an array together.,bori0066,6 kyu,"Jun 19, 2017",123,36,5031,117,10528,2259,378,94,423,371,50,2,5.0,6 kyu,6 kyu,7 kyu,"Algorithms, Arrays"
ATM,Sanan07,7 kyu,"Nov 1, 2015",78,27,6246,86,8833,3409,876,93,630,550,76,4,37.0,6 kyu,6 kyu,8 kyu,"Algorithms, Fundamentals, Mathematics, Numbers"
Play with two Strings,smile67,5 kyu,"Feb 16, 2016",116,23,5402,777,6860,1842,255,92,318,273,42,3,8.0,5 kyu,5 kyu,6 kyu,"Fundamentals, Strings, Algorithms"
Number Zoo Patrol,shawkinsl,6 kyu,"Nov 3, 2013",160,38,8455,471,30301,4356,"2,081",92,621,535,71,15,11.0,6 kyu,6 kyu,7 kyu,"Algorithms, Performance, Mathematics, Numbers"
Breaking search bad,dpellier,6 kyu,"Jan 8, 2014",18,5,2603,96,4404,1492,861,85,263,196,53,14,14.0,5 kyu,4 kyu,7 kyu,"Bugs, Search, Algorithms, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Fundamentals, Strings"
Naughty or Nice?,xDranik,7 kyu,"Dec 10, 2013",50,7,7269,819,13270,4255,"2,929",90,347,283,57,7,,,,,"Fundamentals, Hacking, Holidays, Arrays"
uniq -c (UNIX style),x-way,5 kyu,"Sep 2, 2013",21,7,1114,87,4500,669,401,86,155,121,27,7,,,,,"Algorithms, Arrays, Utilities"
Church Booleans - Prefix is Overrated,JohanWiltink,6 kyu,"Apr 29, 2020",16,5,482,16,324,70,21,92,25,22,2,1,5.0,6 kyu,6 kyu,8 kyu,"Algorithms, Puzzles, Games, Combinators, Functional, Programming, Combinatory, Logic, Functions, Declarative, Programming, Computational, Science, Theoretical, Computer, Science, Control, Flow, Basic, Language, Features, Fundamentals, Design, Patterns"
"Basics 03: Strings, Numbers and Calculation",smile67,6 kyu,"Feb 6, 2016",49,15,2545,160,9844,1203,292,93,267,233,32,2,8.0,6 kyu,5 kyu,7 kyu,"Fundamentals, Strings, Numbers, Mathematics, Algorithms, Arrays"
Regular Expression for Binary Numbers Divisible by n,hufftheweevil,1 kyu,"Aug 17, 2017",257,41,8017,782,15197,650,365,95,159,147,9,3,5.0,1 kyu,1 kyu,2 kyu,"Algorithms, Puzzles, Games, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Fundamentals, Strings"
Graceful Tipping,viktorostlund,7 kyu,"May 6, 2020",41,7,2887,73,10949,1090,484,87,221,171,43,7,6.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Mathematics, Algorithms, Numbers"
Basics 08: Find next higher number with same Bits (1's),smile67,6 kyu,"Feb 12, 2016",81,22,3911,308,6695,1348,108,93,290,254,32,4,8.0,6 kyu,6 kyu,7 kyu,"Algorithms, Fundamentals, Mathematics, Numbers"
Expressions Matter ,MrZizoScream,8 kyu,"Apr 29, 2018",385,101,41225,1836,69195,21851,"1,294",86,2743,2112,505,126,5.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Algorithms, Numbers, Basic, Language, Features"
Simple Fun #27: Rectangle Rotation,myjinxin2015,4 kyu,"Jan 24, 2017",536,119,14317,5425,20109,2603,421,92,525,461,49,15,7.0,4 kyu,3 kyu,6 kyu,"Puzzles, Games"
Reverse Inside Parentheses (Inside Parentheses),dmercertaylor,5 kyu,"Dec 28, 2019",88,18,1762,162,2612,268,134,93,74,66,6,2,9.0,5 kyu,5 kyu,8 kyu,"Fundamentals, Strings, Basic, Language, Features, Recursion, Algorithms, Computability, Theory, Theoretical, Computer, Science, Parsing"
Josephus Survivor,GiacomoSorbi,5 kyu,"May 15, 2015",707,143,27194,6008,42385,8381,"2,143",89,1070,864,172,34,,,,,"Algorithms, Mathematics, Numbers, Lists, Data, Structures, Arrays"
Sum of odd numbers,hhelwich,7 kyu,"Sep 19, 2015",1588,293,154819,21989,216672,69668,"18,887",84,8515,6238,1799,478,,,,,"Fundamentals, Arrays, Lists, Data, Structures, Numbers, Arithmetic, Mathematics, Algorithms"
Alphabetical Addition,user8436785,7 kyu,"Aug 12, 2019",249,62,20387,1223,57474,7260,"1,756",88,1112,878,192,42,39.0,6 kyu,6 kyu,8 kyu,Algorithms
Difference of 2,technikhil,6 kyu,"Apr 6, 2014",146,27,8426,365,22560,4654,"1,794",92,727,626,87,14,14.0,6 kyu,5 kyu,7 kyu,"Algorithms, Arrays, Sorting, Loops, Control, Flow, Basic, Language, Features, Fundamentals, Utilities"
Hackermann,notnotmelon,6 kyu,"Oct 3, 2018",19,5,674,19,523,44,44,82,17,11,6,0,9.0,6 kyu,4 kyu,8 kyu,"Puzzles, Functions, Control, Flow, Basic, Language, Features, Fundamentals, Recursion, Algorithms, Computability, Theory, Theoretical, Computer, Science, Iterators, Object, Programming"
Reflecting Light,tonylicoding,7 kyu,"May 4, 2020",23,13,1171,25,3389,293,205,74,69,45,12,12,6.0,6 kyu,6 kyu,8 kyu,"Algorithms, Geometry, Algebra, Mathematics"
Basics 06: Reversing and Combining Text,smile67,6 kyu,"Feb 8, 2016",59,15,2442,98,5310,849,235,92,193,166,22,5,,,,,"Fundamentals, Strings, Arrays"
The boolean order,KenKamau,3 kyu,"Oct 21, 2017",316,86,6868,1780,4261,521,111,95,104,95,7,2,3.0,4 kyu,3 kyu,6 kyu,"Algorithms, Strings"
Lisp-esque parsing [Code Golf],Dr Gabo,5 kyu,"Apr 24, 2020",9,1,165,4,431,23,23,89,9,8,0,1,5.0,5 kyu,4 kyu,8 kyu,"Algorithms, Parsing, Strings, Optimization"
One is the loneliest number,albertogcmr,6 kyu,"Apr 29, 2020",32,13,1724,62,5796,475,269,89,133,108,22,3,10.0,6 kyu,6 kyu,8 kyu,"Puzzles, Lists, Data, Structures"
N queens problem (with no mandatory queen position),christianhammer,4 kyu,"Jan 8, 2014",37,10,659,44,1833,117,54,89,40,31,9,0,10.0,4 kyu,4 kyu,6 kyu,"Algorithms, Performance"
last digits of a number,jonny_boy,7 kyu,"May 10, 2019",16,5,1579,22,3668,1006,"1,006",87,237,193,28,16,77.0,7 kyu,1 kyu,8 kyu,Fundamentals
Total amount of points,petrosernivka,8 kyu,"Oct 6, 2018",444,116,47432,1789,86335,27608,"8,317",92,3379,2874,462,43,10.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Algorithms, Mathematics, Numbers"
regex pattern to check if string has all characters,albertogcmr,6 kyu,"Apr 3, 2020",43,11,2010,57,3869,465,192,84,117,89,19,9,20.0,6 kyu,5 kyu,8 kyu,"Fundamentals, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Strings"
Markdown 101: Code Format Corrector,albertogcmr,6 kyu,"Apr 22, 2020",4,2,350,6,650,32,32,77,13,9,2,2,4.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Strings, Lists, Data, Structures, Formats"
Redacted!,dinglemouse,7 kyu,"Aug 6, 2018",34,7,1836,25,8877,601,127,86,166,128,30,8,4.0,7 kyu,7 kyu,7 kyu,Fundamentals
Split In Parts,bmw318mt,7 kyu,"Nov 21, 2015",75,32,5651,148,11796,3578,347,94,526,473,44,9,,,,,"Fundamentals, Strings"
Rail Fence Cipher: Encoding and Decoding ,darrentburgess,3 kyu,"Mar 15, 2017",523,104,10994,2611,36062,3700,912,96,682,627,53,2,9.0,3 kyu,3 kyu,4 kyu,"Algorithms, Ciphers, Cryptography, Security, Strings"
Right Truncatable Harshad numbers,anter69,5 kyu,"Mar 8, 2019",27,4,664,34,643,55,35,89,27,22,4,1,6.0,5 kyu,4 kyu,7 kyu,"Algorithms, Mathematics, Numbers"
Largest Value of a Power Less Than a Number,tonylicoding,6 kyu,"Apr 2, 2020",14,2,712,21,1177,164,105,88,57,45,10,2,18.0,6 kyu,4 kyu,8 kyu,"Algorithms, Mathematics, Numbers"
Debug Sum of Digits of a Number,Fosna,7 kyu,"Nov 7, 2015",14,6,3800,39,7221,2766,"1,568",90,562,468,78,16,37.0,7 kyu,2 kyu,8 kyu,"Bugs, Fundamentals"
Complete the triangle pattern,myjinxin2015,5 kyu,"Nov 13, 2016",41,12,951,87,1064,111,59,95,43,39,4,0,8.0,5 kyu,4 kyu,8 kyu,"Puzzles, Games"
Ellipse contains point?,perkee,7 kyu,"May 20, 2018",7,0,777,12,1147,167,77,76,54,36,10,8,5.0,7 kyu,6 kyu,8 kyu,"Algorithms, Geometry, Algebra, Mathematics, Numbers"
Coding with Squared Strings,g964,5 kyu,"Mar 31, 2016",188,35,11058,4917,9820,1242,44,89,272,217,50,5,8.0,5 kyu,5 kyu,7 kyu,"Fundamentals, Strings"
Validate Sudoku with size `NxN`,cbmono,4 kyu,"Sep 6, 2014",509,117,17238,6085,83945,5161,"1,645",85,794,594,157,43,,,,,"Puzzles, Arrays, Games, Algorithms, Validation, Multi, Dimensional, Arrays"
What's a Perfect Power anyway?,bkaes,5 kyu,"Feb 6, 2015",772,132,40368,13037,69108,11630,245,86,1280,972,253,55,,,,,"Fundamentals, Mathematics, Algorithms, Numbers"
RGB To Hex Conversion,jhoffner,5 kyu,"Mar 13, 2013",984,232,82717,13298,215572,48292,"17,807",87,4759,3692,933,134,,,,,Algorithms
rotate the letters of each element,albertogcmr,6 kyu,"Apr 20, 2020",21,0,712,23,1859,145,145,82,55,38,14,3,7.0,6 kyu,6 kyu,8 kyu,"Puzzles, Lists, Data, Structures, Strings, Sorting, Algorithms"
Almost Even,OverZealous,6 kyu,"Dec 3, 2013",42,14,3071,210,7213,1746,719,93,286,248,34,4,,,,,"Algorithms, Numbers, Arrays"
Haiku Checker,anter69,5 kyu,"Feb 27, 2019",41,13,1134,27,3512,210,154,92,51,43,8,0,5.0,5 kyu,5 kyu,8 kyu,Algorithms
Find the divisors! ,kwy95,7 kyu,"Oct 25, 2014",534,99,102581,12235,201998,52609,"23,457",88,6427,5053,1257,117,,,,,"Algorithms, Mathematics, Numbers"
The 5 Love Languages,anter69,6 kyu,"Mar 13, 2018",40,13,1594,37,4575,433,315,86,122,94,22,6,7.0,6 kyu,6 kyu,7 kyu,"Algorithms, Machine, Learning, Applied, Computer, Science"
My Languages,anter69,7 kyu,"Jun 6, 2018",123,71,8851,125,23269,4555,389,93,748,660,78,10,16.0,7 kyu,7 kyu,8 kyu,"Algorithms, Sorting, Arrays, Hashes, Data, Structures"
I need more speed!,joh_pot,6 kyu,"Aug 27, 2015",74,12,4060,144,8619,1608,"1,109",86,268,206,51,11,,,,,"Algorithms, Arrays, Methods, Functions, Object, Programming, Control, Flow, Basic, Language, Features, Fundamentals, Classes"
Almost Everywhere Zero,ChanChhunneng,4 kyu,"Mar 8, 2020",76,9,1237,60,1825,106,106,94,26,24,1,1,4.0,4 kyu,1 kyu,8 kyu,"Algorithms, Loops, Control, Flow, Basic, Language, Features, Fundamentals, Mathematics, Numbers"
Multiply array values and filter non-numeric,XxxX88,7 kyu,"Sep 7, 2015",13,7,1772,9,4208,1287,881,91,284,240,39,5,43.0,7 kyu,6 kyu,8 kyu,"Algorithms, Arrays"
Counting Valleys,Valefar,7 kyu,"Oct 18, 2019",15,9,1374,20,3229,646,321,90,155,131,17,7,22.0,7 kyu,6 kyu,8 kyu,"Algorithms, Strings"
Sort rectangles and circles by area II,JohanWiltink,7 kyu,"Nov 29, 2017",31,5,1652,29,3995,719,278,85,188,146,28,14,4.0,7 kyu,7 kyu,8 kyu,Fundamentals
Best Stock Profit in Single Sale,wontonst,6 kyu,"Apr 15, 2017",35,7,898,30,2870,221,221,90,54,43,11,0,14.0,6 kyu,5 kyu,8 kyu,Algorithms
Bernoulli numbers,JustyFY,4 kyu,"Dec 27, 2015",70,18,1480,342,1961,167,135,84,56,45,4,7,3.0,3 kyu,2 kyu,5 kyu,"Algorithms, Fundamentals, Mathematics, Numbers, Arithmetic"
Strings: starts with,lilsweetcaligula,7 kyu,"Oct 16, 2016",14,3,1399,36,2689,826,284,87,198,154,38,6,8.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Strings"
Asterisk it,Tefferson,7 kyu,"Jan 25, 2017",37,13,2149,26,6618,1055,585,87,238,187,42,9,16.0,6 kyu,4 kyu,7 kyu,"Algorithms, Strings"
Convert a linked list to a string,donaldsebleung,7 kyu,"Nov 16, 2016",147,68,9619,384,15310,4113,167,91,714,608,90,16,8.0,7 kyu,7 kyu,8 kyu,"Algorithms, Linked, Lists, Lists, Data, Structures, Recursion, Computability, Theory, Theoretical, Computer, Science"
Find min and max,wichu,7 kyu,"Aug 3, 2016",19,13,4506,36,7202,3415,157,89,631,511,101,19,10.0,7 kyu,7 kyu,8 kyu,Fundamentals
Beeramid,kylehill,5 kyu,"Jul 22, 2013",86,21,7273,1182,19366,4380,"1,420",89,648,521,113,14,,,,,"Algorithms, Mathematics, Numbers"
Recover a secret string from random triplets,zpconn,4 kyu,"Aug 25, 2014",1629,250,37641,11945,100319,9350,"4,275",95,1470,1332,118,20,,,,,Algorithms
How do I compare numbers?,Unnamed,8 kyu,"Aug 22, 2015",60,18,10256,157,13181,6621,"4,423",84,809,596,167,46,,,,,"Bugs, Fundamentals"
Change detection decorator,zellerede,2 kyu,"Mar 9, 2016",70,16,889,188,1503,84,84,90,21,18,2,1,4.0,3 kyu,1 kyu,8 kyu,"Algorithms, Decorator, Design, Patterns, Design, Principles, Object, Programming"
Points in Segments,arhigod,7 kyu,"Sep 25, 2018",24,3,1431,20,2201,518,175,91,124,107,11,6,7.0,7 kyu,6 kyu,8 kyu,Algorithms
Array to HTML table,David Gildour,6 kyu,"Mar 27, 2020",52,13,1259,19,1869,393,191,91,103,87,14,2,8.0,6 kyu,5 kyu,8 kyu,"Fundamentals, Arrays"
Super Coordinate Sums!,LSmith-Zenoscave,6 kyu,"Jul 13, 2017",28,5,1395,55,2667,248,158,89,62,52,6,4,9.0,6 kyu,4 kyu,7 kyu,"Puzzles, Mathematics, Algorithms, Numbers"
Not above the one!,Nspringham,7 kyu,"Jul 19, 2018",18,9,1462,14,2566,1036,602,88,260,208,44,8,50.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Arrays"
Basic Calculator,TheDoctor,7 kyu,"Nov 27, 2013",72,22,8273,411,17452,6080,"4,179",90,783,646,115,22,,,,,"Fundamentals, Operators, Control, Flow, Basic, Language, Features"
Guarding the AlgoLandia,raff_ralo,7 kyu,"Jun 21, 2019",16,2,1152,19,4494,551,131,83,116,90,13,13,17.0,7 kyu,6 kyu,8 kyu,"Algorithms, Mathematics, Numbers, Fundamentals"
esreveR,xcthulhu,7 kyu,"Sep 12, 2014",48,10,7539,401,17083,4932,"1,015",89,583,479,75,29,,,,,"Fundamentals, Functional, Programming, Declarative, Programming, Higher, Functions, Functions, Control, Flow, Basic, Language, Features"
Knight's Attack! ,rsdah13,3 kyu,"Apr 7, 2017",39,7,694,200,1164,39,38,91,17,14,3,0,6.0,4 kyu,3 kyu,5 kyu,Algorithms
Parse bank account number,arhigod,6 kyu,"Jul 31, 2017",55,18,1770,52,3301,613,227,93,177,154,22,1,10.0,6 kyu,6 kyu,8 kyu,"Puzzles, Strings"
Simplifying,sataman,3 kyu,"Oct 3, 2016",253,65,3938,1124,4980,315,153,88,62,50,9,3,4.0,3 kyu,3 kyu,3 kyu,"Puzzles, Map, Reduce, Algorithms, Games"
Line Safari - Is that a line?,dinglemouse,3 kyu,"Oct 4, 2017",241,56,4204,1589,12669,435,91,85,139,104,28,7,3.0,4 kyu,3 kyu,5 kyu,Algorithms
Reversi Win Checker,DatabaseMonkey,3 kyu,"May 21, 2018",22,6,279,111,526,31,31,100,15,15,0,0,4.0,3 kyu,2 kyu,6 kyu,"Algorithms, Puzzles, Games"
DefaultList,beniolenio,6 kyu,"Apr 6, 2020",27,14,1156,22,2795,460,460,93,98,86,11,1,15.0,6 kyu,6 kyu,8 kyu,"Fundamentals, Classes, Basic, Language, Features, Object, Programming"
Replacement,arhigod,6 kyu,"Aug 11, 2017",28,4,2159,74,6723,993,378,86,215,167,36,12,10.0,6 kyu,5 kyu,8 kyu,"Fundamentals, Algorithms, Arrays"
Next polydivisible number,JohanWiltink,6 kyu,"Feb 17, 2020",31,6,1252,54,3521,104,5,89,36,29,6,1,7.0,6 kyu,5 kyu,8 kyu,"Algorithms, Numbers"
Computer problem series #1: Fill the Hard Disk Drive,albertogcmr,7 kyu,"Aug 8, 2019",41,14,3928,89,10144,2521,913,92,446,385,51,10,31.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Lists, Data, Structures, Arrays"
altERnaTIng cAsE <=> ALTerNAtiNG CaSe,donaldsebleung,8 kyu,"Mar 21, 2016",310,110,34293,2080,65713,20734,"5,807",90,2713,2218,426,69,,,,,Fundamentals
Is the string uppercase?,donaldsebleung,8 kyu,"Feb 24, 2016",219,47,30324,695,75884,19717,"1,183",85,2327,1746,441,140,,,,,"Fundamentals, Object, Programming"
More Zeros than Ones,chrisaw,6 kyu,"Jul 31, 2019",69,11,3154,146,8215,1626,792,93,324,283,35,6,24.0,6 kyu,5 kyu,8 kyu,Fundamentals
Simple Barcode Scanner,furbrain,6 kyu,"Sep 18, 2015",17,2,502,22,829,171,154,82,46,34,7,5,18.0,5 kyu,4 kyu,7 kyu,"Algorithms, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Fundamentals, Strings"
Currency Conversion,ajLapid718,7 kyu,"Jan 15, 2018",17,4,1348,99,3299,554,45,81,152,108,29,15,56.0,6 kyu,5 kyu,8 kyu,"Fundamentals, Mathematics, Algorithms, Numbers, Algebra"
Find the Middle of the Product,dsasser,7 kyu,"Apr 5, 2018",20,2,1443,58,11279,574,223,79,185,132,30,23,53.0,6 kyu,1 kyu,8 kyu,"Fundamentals, Strings, Basic, Language, Features"
2D Vector Mapping,David Gildour,7 kyu,"Oct 18, 2019",18,3,772,77,596,190,81,82,57,42,10,5,25.0,6 kyu,4 kyu,8 kyu,"Algorithms, Mathematics, Numbers, Dynamic, Arrays, Arrays, Functional, Programming, Declarative, Programming, Vectors, Mapping"
Half Life,victorazzam,7 kyu,"Aug 4, 2019",8,2,640,63,412,147,147,89,46,37,8,1,18.0,6 kyu,6 kyu,8 kyu,"Fundamentals, Mathematics, Algorithms, Numbers, Basic, Language, Features"
Picking the best casino game,Scopula,7 kyu,"Dec 27, 2019",8,4,328,39,473,119,119,86,48,38,7,3,21.0,6 kyu,5 kyu,8 kyu,"Fundamentals, Mathematics, Algorithms, Numbers"
Data Type Scramble,fisher60,7 kyu,"Mar 3, 2020",4,3,446,4,575,254,254,90,83,68,13,2,27.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Parsing, Algorithms, Strings, Structs, Data, Structures, Numbers, Integers, Booleans"
Are the numbers in order?,donaldsebleung,7 kyu,"Feb 8, 2016",119,65,21573,1441,54540,14415,"4,302",88,1903,1498,347,58,,,,,"Algorithms, Fundamentals, Mathematics, Numbers, Control, Flow, Basic, Language, Features, Optimization"
SpeedCode #2 - Array Madness,donaldsebleung,8 kyu,"Apr 2, 2016",93,36,12675,143,36097,9255,"4,685",94,1401,1238,149,14,,,,,"Puzzles, Arrays"
First Variation on Caesar Cipher,g964,5 kyu,"Mar 17, 2015",651,108,23528,9921,49564,3400,566,81,613,425,141,47,,,,,"Fundamentals, Ciphers, Algorithms, Cryptography, Security, Strings, Utilities"
Array Exchange,hafizio,6 kyu,"Apr 20, 2014",26,11,2724,157,7978,975,169,83,215,165,29,21,36.0,6 kyu,4 kyu,8 kyu,"Fundamentals, Arrays, Algorithms"
Polish alphabet,skibinska,8 kyu,"Aug 10, 2016",78,25,9083,192,15232,4811,"2,964",91,768,646,105,17,,,,,"Fundamentals, Strings"
Get root property name,kodejuice,6 kyu,"Aug 6, 2017",39,5,709,19,1955,253,168,89,88,71,14,3,11.0,6 kyu,5 kyu,7 kyu,"Fundamentals, Data, Structures"
sort array by last character,nakulgupta18,7 kyu,"Jul 21, 2015",28,4,1723,84,3705,656,146,85,211,164,32,15,35.0,6 kyu,6 kyu,8 kyu,Fundamentals
Symbolic differentiation of prefix expressions,pln,2 kyu,"Dec 12, 2016",273,81,3992,1201,5902,602,191,84,168,124,34,10,4.0,2 kyu,2 kyu,2 kyu,Algorithms
All Balanced Parentheses,xcthulhu,4 kyu,"Sep 27, 2014",471,98,10356,2553,13576,2226,419,94,373,333,33,7,,,,,"Algorithms, Interview, Questions"
Simplify the number!,iamchingel,6 kyu,"Oct 14, 2016",20,3,1392,19,4141,740,372,93,170,147,22,1,9.0,6 kyu,5 kyu,7 kyu,Fundamentals
Find the area of the rectangle!,iamchingel,7 kyu,"Oct 21, 2016",25,7,2636,84,6098,1569,686,87,324,253,60,11,8.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Mathematics, Algorithms, Numbers"
What dominates your array?,joh_pot,7 kyu,"Jul 9, 2015",43,9,3157,117,8545,1635,617,89,301,245,46,10,,,,,"Fundamentals, Arrays"
Integer Difference,smepple,7 kyu,"Jun 29, 2016",36,9,2340,133,9792,1167,408,87,263,204,47,12,,,,,Fundamentals
Cyclops numbers,Nmistrata,7 kyu,"Feb 2, 2016",26,12,1778,18,5792,1124,759,93,236,207,24,5,,,,,Algorithms
Find all occurrences of an element in an array,MementoMori,7 kyu,"Sep 1, 2017",35,15,5057,56,8239,3458,"1,998",91,587,493,85,9,17.0,7 kyu,3 kyu,8 kyu,"Fundamentals, Control, Flow, Basic, Language, Features"
nova polynomial 1. add,hgamboa,7 kyu,"Apr 10, 2016",9,8,813,21,1683,463,443,86,113,87,20,6,19.0,7 kyu,6 kyu,8 kyu,"Algorithms, Mathematics, Numbers, Recursion, Computability, Theory, Theoretical, Computer, Science, Arrays"
Possible side lengths of a triangle excluding right triangles.,tonylicoding,7 kyu,"Mar 29, 2020",5,4,552,9,805,237,182,89,71,60,7,4,4.0,7 kyu,7 kyu,7 kyu,Fundamentals
Arithmetic Expression Placeholders,mingmingrr,5 kyu,"Mar 26, 2020",11,4,525,21,287,37,37,89,14,12,1,1,4.0,5 kyu,4 kyu,6 kyu,"Algorithms, Expressions, Basic, Language, Features, Fundamentals, Advanced, Language, Features, Arithmetic, Mathematics, Numbers"
All Star Code Challenge #18,shaddyjr,8 kyu,"Dec 31, 2016",91,55,19183,370,33587,15416,"5,840",91,2091,1752,285,54,112.0,7 kyu,2 kyu,8 kyu,Fundamentals
Onion array,aweleshetu,6 kyu,"Sep 8, 2017",12,0,713,19,2349,374,165,88,118,95,17,6,13.0,6 kyu,6 kyu,7 kyu,Fundamentals
Is it even?,JoniWeiss,8 kyu,"May 18, 2015",73,27,20278,394,33577,16915,"7,227",89,1855,1500,301,54,,,,,"Fundamentals, Numbers"
Square sums,metalim,1 kyu,"Jan 22, 2018",464,106,11199,516,9248,318,5,88,88,71,12,5,3.0,1 kyu,1 kyu,1 kyu,"Bugs, Algorithms, Mathematics, Numbers"
Human readable duration format,davazp,4 kyu,"Nov 2, 2013",1822,412,60442,9193,282575,32389,"11,146",91,4089,3417,599,73,,,,,"Algorithms, Formats, Strings, Dates, Time, Formatting"
Genetic Algorithm Series - #4 Get population and fitnesses,brunolm,7 kyu,"Dec 25, 2015",26,14,2239,192,2474,890,374,88,218,181,23,14,,,,,"Algorithms, Genetic, Algorithms, Arrays"
Genetic Algorithm Series - #3 Crossover,gabrielsiedler,7 kyu,"Dec 25, 2015",30,14,2184,144,3655,1403,504,93,270,236,30,4,16.0,7 kyu,6 kyu,8 kyu,"Algorithms, Strings, Genetic, Algorithms"
Binary Simulation,DarkD1,5 kyu,"Apr 19, 2019",29,3,788,87,1432,79,22,75,20,14,2,4,4.0,5 kyu,4 kyu,6 kyu,"Algorithms, Performance, Fundamentals"
One line task: Is the King in check ?,Torkel,3 kyu,"Jan 30, 2020",49,10,1154,243,1518,52,28,92,19,17,1,1,5.0,3 kyu,1 kyu,5 kyu,Puzzles
Largest product in a series,JaniL,5 kyu,"Nov 29, 2013",29,12,2458,96,6286,1665,703,89,259,209,42,8,6.0,5 kyu,5 kyu,6 kyu,"Algorithms, Mathematics, Numbers"
Even Odd Pattern #1,debri,6 kyu,"Jul 9, 2015",28,8,1534,62,2374,544,238,86,132,104,18,10,27.0,6 kyu,6 kyu,8 kyu,"Puzzles, Arrays, Mathematics, Algorithms, Numbers"
Metaclasses - Simple Django Models,horejsek,3 kyu,"Jan 18, 2015",94,24,1144,292,5078,96,96,78,32,20,10,2,8.0,3 kyu,2 kyu,8 kyu,"Fundamentals, Object, Programming, Metaprogramming, Advanced, Language, Features"
Geometry Basics: Triangle Perimeter in 2D,taw,7 kyu,"Apr 4, 2017",15,8,1880,29,1938,791,47,84,182,137,33,12,12.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Geometry, Algebra, Mathematics, Algorithms"
Thinking & Testing : True or False,myjinxin2015,7 kyu,"Mar 4, 2016",63,16,6617,167,7397,1536,406,86,355,279,52,24,,,,,"Puzzles, Games"
Simple Fun #74: Growing Plant,myjinxin2015,7 kyu,"Feb 3, 2017",129,36,13476,667,32706,6790,"1,657",90,978,802,156,20,11.0,7 kyu,7 kyu,8 kyu,Algorithms
Product Partitions II,raulbc777,6 kyu,"Oct 7, 2015",8,0,303,60,114,25,25,90,10,9,0,1,3.0,5 kyu,5 kyu,7 kyu,"Fundamentals, Data, Structures, Mathematics, Algorithms, Numbers, Recursion, Computability, Theory, Theoretical, Computer, Science, Control, Flow, Basic, Language, Features"
Consonant value,KenKamau,6 kyu,"Sep 25, 2017",223,80,14925,2492,35276,7661,"2,484",94,1154,1016,127,11,11.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Strings"
